,Player,Year,Season_Year,Draft,Rank,Experience,Height,Weight,Position,Age,Team_ID,Games,GS,Mins_Played,Field_Goal,FG_attempts,FG_percent,3_Point_FG,3P_attempts,3P_percent,2_Point_FG,2P_attempts,2P_percent,eFG%,Free_Throw,FT_attempts,FT_percent,Offensive_Rebounds,Defensive_Rebounds,Total_Rebounds,Assists,Steals,Blocks,Turnovers,Personal_Fouls,Points,Player_Career_Salary,Player_Season_Salary,Mins_Played_per_game,Total_Rebounds_per_game,Assists_per_game,Steals_per_game,Blocks_per_game,Turnovers_per_game,Personal_Fouls_per_game,Points_per_game
4979,Eric Gordon,2018,2017-18,Los Angeles Clippers,3.0,13,75.0,215.0,SG,29,HOU,69,30,2154,415,970,0.428,218,608,0.359,197,362,0.544,0.54,195,241,0.809,25,145,170,154,44,27,130,116,1243,140412272,12943020.0,31.2,2.5,2.2,0.6,0.4,1.9,1.7,18.0
4985,Danny Green,2018,2017-18,Cleveland Cavaliers,15.0,12,78.0,215.0,SG,30,SAS,70,60,1791,217,561,0.387,116,320,0.363,101,241,0.419,0.49,50,65,0.769,41,208,249,110,63,80,74,122,600,82693630,10000000.0,25.6,3.6,1.6,0.9,1.1,1.1,1.7,8.6
4995,James Harden,2018,2017-18,Oklahoma City Thunder,17.0,12,77.0,220.0,SG,28,HOU,72,72,2551,651,1449,0.449,265,722,0.367,386,727,0.531,0.541,624,727,0.858,41,348,389,630,126,50,315,169,2191,227685662,28299399.0,35.4,5.4,8.8,1.8,0.7,4.4,2.3,30.4
5010,Udonis Haslem,2018,2017-18,0,72.0,18,80.0,235.0,C,37,MIA,14,0,72,3,15,0.2,1,8,0.125,2,7,0.286,0.233,1,2,0.5,3,7,10,5,0,2,2,3,8,65498692,1471382.0,5.1,0.7,0.4,0.0,0.1,0.1,0.2,0.6
5027,George Hill,2018,2017-18,San Antonio Spurs,0.0,13,76.0,188.0,PG,31,TOT,67,60,1812,236,513,0.46,85,205,0.415,151,308,0.49,0.543,110,140,0.786,42,139,181,186,61,27,88,128,667,104055909,20000000.0,27.0,2.7,2.8,0.9,0.4,1.3,1.9,10.0
5032,Jrue Holiday,2018,2017-18,Philadelphia 76ers,2.0,12,75.0,205.0,SG,27,NOP,81,81,2927,615,1244,0.494,120,356,0.337,495,888,0.557,0.543,187,238,0.786,62,303,365,486,123,64,213,201,1537,150443496,25686667.0,36.1,4.5,6.0,1.5,0.8,2.6,2.5,19.0
5041,Al Horford,2018,2017-18,Atlanta Hawks,47.0,14,81.0,240.0,C,31,BOS,72,72,2277,368,753,0.489,97,226,0.429,271,527,0.514,0.553,94,120,0.783,103,427,530,339,43,78,132,138,927,216228232,27734405.0,31.6,7.4,4.7,0.6,1.1,1.8,1.9,12.9
5043,Dwight Howard,2018,2017-18,Orlando Magic,1.0,17,82.0,265.0,C,32,CHO,81,81,2463,506,911,0.555,1,7,0.143,505,904,0.559,0.556,334,582,0.574,255,757,1012,105,48,131,208,249,1347,246191190,23500000.0,30.4,12.5,1.3,0.6,1.6,2.6,3.1,16.6
5047,Serge Ibaka,2018,2017-18,Seattle SuperSonics,0.0,12,82.0,235.0,PF,28,TOR,76,76,2093,379,784,0.483,107,297,0.36,272,487,0.559,0.552,94,118,0.797,78,400,478,62,29,99,90,209,959,129323662,20061729.0,27.5,6.3,0.8,0.4,1.3,1.2,2.8,12.6
5048,Andre Iguodala,2018,2017-18,Philadelphia 76ers,27.0,17,78.0,215.0,SF,34,GSW,64,7,1622,148,320,0.463,33,117,0.282,115,203,0.567,0.514,55,87,0.632,50,196,246,210,54,38,67,99,384,184324259,14814815.0,25.3,3.8,3.3,0.8,0.6,1.0,1.5,6.0
5049,Ersan Ä°lyasova,2018,2017-18,Milwaukee Bucks,0.0,13,81.0,235.0,PF,30,TOT,69,43,1729,277,613,0.452,91,253,0.36,186,360,0.517,0.526,105,135,0.778,118,287,405,90,61,26,72,157,750,69010749,357454.0,25.1,5.9,1.3,0.9,0.4,1.0,2.3,10.9
5066,LeBron James,2018,2017-18,Cleveland Cavaliers,1.0,18,81.0,250.0,PF,33,CLE,82,82,3026,857,1580,0.542,149,406,0.367,708,1174,0.603,0.59,388,531,0.731,97,612,709,747,116,71,347,136,2251,349331046,33285709.0,36.9,8.6,9.1,1.4,0.9,4.2,1.7,27.5
5096,DeAndre Jordan,2018,2017-18,Los Angeles Clippers,13.0,13,83.0,265.0,C,29,LAC,77,77,2424,373,578,0.645,0,0,0.0,373,578,0.645,0.645,181,312,0.58,329,842,1171,117,39,71,137,203,927,151642365,22642350.0,31.5,15.2,1.5,0.5,0.9,1.8,2.6,12.0
5135,Brook Lopez,2018,2017-18,New Jersey Nets,9.0,13,84.0,282.0,C,29,LAL,74,72,1735,369,793,0.465,112,325,0.345,257,468,0.549,0.536,111,158,0.703,74,220,294,126,30,98,98,195,961,145877186,22642350.0,23.4,4.0,1.7,0.4,1.3,1.3,2.6,13.0
5136,Robin Lopez,2018,2017-18,Phoenix Suns,19.0,13,84.0,281.0,C,29,CHI,64,64,1690,342,645,0.53,4,14,0.286,338,631,0.536,0.533,68,90,0.756,134,156,290,124,14,53,107,109,756,91459944,13788500.0,26.4,4.5,1.9,0.2,0.8,1.7,1.7,11.8
5137,Kevin Love,2018,2017-18,Memphis Grizzlies,2.0,13,80.0,251.0,C,29,CLE,59,59,1651,334,729,0.458,137,330,0.415,197,399,0.494,0.552,234,266,0.88,101,445,546,103,43,24,90,120,1039,206522555,22642350.0,28.0,9.3,1.7,0.7,0.4,1.5,2.0,17.6
5138,Kyle Lowry,2018,2017-18,Memphis Grizzlies,29.0,15,72.0,196.0,PG,31,TOR,78,78,2510,403,944,0.427,238,596,0.399,165,348,0.474,0.553,223,261,0.854,66,368,434,537,85,19,183,192,1267,188457917,28703704.0,32.2,5.6,6.9,1.1,0.2,2.3,2.5,16.2
5153,Wesley Matthews,2018,2017-18,0,61.0,12,76.0,220.0,SF,31,DAL,63,62,2131,283,697,0.406,153,402,0.381,130,295,0.441,0.516,83,101,0.822,28,170,198,172,76,16,83,140,802,109916346,17884176.0,33.8,3.1,2.7,1.2,0.3,1.3,2.2,12.7
5164,JaVale McGee,2018,2017-18,Washington Wizards,0.0,13,84.0,270.0,C,30,GSW,65,17,615,136,219,0.621,0,6,0.0,136,213,0.638,0.621,38,52,0.731,59,110,169,33,21,57,27,91,310,65692164,1471382.0,9.5,2.6,0.5,0.3,0.9,0.4,1.4,4.8
5178,Paul Millsap,2018,2017-18,Utah Jazz,66.0,15,79.0,257.0,PF,32,DEN,38,37,1143,202,435,0.464,39,113,0.345,163,322,0.506,0.509,112,161,0.696,65,180,245,105,39,44,73,99,555,192682070,31269231.0,30.1,6.4,2.8,1.0,1.2,1.9,2.6,14.6
5250,Chris Paul,2018,2017-18,New Orleans Hornets,6.0,16,72.0,175.0,PG,32,HOU,58,58,1847,367,798,0.46,144,379,0.38,223,419,0.532,0.55,203,221,0.919,37,276,313,457,96,14,128,141,1081,300507923,24599495.0,31.8,5.4,7.9,1.7,0.2,2.2,2.4,18.6
5282,J.J. Redick,2018,2017-18,Orlando Magic,11.0,15,75.0,200.0,SG,33,PHI,70,70,2116,404,879,0.46,193,460,0.42,211,419,0.504,0.569,197,218,0.904,9,169,178,210,35,6,103,123,1198,117908008,23000000.0,30.2,2.5,3.0,0.5,0.1,1.5,1.8,17.1
5295,Rajon Rondo,2018,2017-18,Phoenix Suns,21.0,15,73.0,180.0,PG,31,NOP,65,63,1705,231,494,0.468,50,150,0.333,181,344,0.526,0.518,25,46,0.543,31,232,263,533,70,10,151,119,537,110397637,3000000.0,26.2,4.0,8.2,1.1,0.2,2.3,1.8,8.3
5339,Jeff Teague,2018,2017-18,Atlanta Hawks,55.0,12,75.0,195.0,PG,29,MIN,70,70,2311,354,794,0.446,84,228,0.368,270,566,0.477,0.499,202,239,0.845,24,185,209,492,102,23,177,171,994,100036543,19000000.0,33.0,3.0,7.0,1.5,0.3,2.5,2.4,14.2
5353,Anthony Tolliver,2018,2017-18,0,0.0,13,80.0,240.0,PF,32,DET,79,14,1757,219,472,0.464,159,365,0.436,60,107,0.561,0.632,106,133,0.797,50,191,241,90,32,21,58,144,703,35327454,2000000.0,22.2,3.1,1.1,0.4,0.3,0.7,1.8,8.9
5387,Russell Westbrook,2018,2017-18,Seattle SuperSonics,0.0,13,75.0,200.0,PG,29,OKC,80,80,2914,757,1687,0.449,97,326,0.298,660,1361,0.485,0.477,417,566,0.737,152,652,804,820,147,20,381,200,2028,247765546,28530608.0,36.4,10.0,10.2,1.8,0.2,4.8,2.5,25.4
5399,Lou Williams,2018,2017-18,Philadelphia 76ers,5.0,16,73.0,175.0,SG,31,LAC,79,19,2589,582,1337,0.435,186,518,0.359,396,819,0.484,0.505,432,491,0.88,40,158,198,417,85,19,234,106,1782,82208319,7000000.0,32.8,2.5,5.3,1.1,0.2,3.0,1.3,22.6
5418,Thaddeus Young,2018,2017-18,Philadelphia 76ers,6.0,14,80.0,235.0,PF,29,IND,81,81,2607,421,864,0.487,58,181,0.32,363,683,0.531,0.521,55,92,0.598,184,328,512,152,135,36,105,175,955,122942787,14796348.0,32.2,6.3,1.9,1.7,0.4,1.3,2.2,11.8
5433,LaMarcus Aldridge,2019,2018-19,Chicago Bulls,12.0,15,83.0,250.0,C,33,SAS,81,81,2687,684,1319,0.519,10,42,0.238,674,1277,0.528,0.522,349,412,0.847,251,493,744,194,43,107,144,179,1727,213594277,22347015.0,33.2,9.2,2.4,0.5,1.3,1.8,2.2,21.3
5447,Carmelo Anthony,2019,2018-19,Denver Nuggets,2.0,18,79.0,238.0,PF,34,HOU,10,2,294,49,121,0.405,21,64,0.328,28,57,0.491,0.492,15,22,0.682,9,45,54,5,4,7,8,32,134,264653337,2393887.0,29.4,5.4,0.5,0.4,0.7,0.8,3.2,13.4
5450,Trevor Ariza,2019,2018-19,New York Knicks,19.0,17,80.0,215.0,SF,33,TOT,69,69,2349,294,736,0.399,145,434,0.334,149,302,0.493,0.498,130,164,0.793,50,321,371,252,91,21,106,130,863,116320530,15000000.0,34.0,5.4,3.7,1.3,0.3,1.5,1.9,12.5
5453,D.J. Augustin,2019,2018-19,Charlotte Bobcats,29.0,13,71.0,183.0,PG,31,ORL,81,81,2269,318,677,0.47,131,311,0.421,187,366,0.511,0.566,181,209,0.866,41,162,203,426,52,4,128,115,948,56804977,7250000.0,28.0,2.5,5.3,0.6,0.0,1.6,1.4,11.7
5469,Nicolas Batum,2019,2018-19,Houston Rockets,0.0,13,80.0,230.0,SF,30,CHO,75,72,2354,253,562,0.45,116,298,0.389,137,264,0.519,0.553,77,89,0.865,71,319,390,247,71,43,117,140,699,156135822,24000000.0,31.4,5.2,3.3,0.9,0.6,1.6,1.9,9.3
5569,Mike Conley,2019,2018-19,Memphis Grizzlies,21.0,14,73.0,175.0,PG,31,MEM,70,70,2342,490,1120,0.438,155,426,0.364,335,694,0.483,0.507,343,406,0.845,40,199,239,449,94,22,130,123,1478,208812026,30521116.0,33.5,3.4,6.4,1.3,0.3,1.9,1.8,21.1
5585,Stephen Curry,2019,2018-19,Golden State Warriors,0.0,12,74.0,185.0,PG,30,GSW,69,69,2331,632,1340,0.472,354,810,0.437,278,530,0.525,0.604,263,287,0.916,45,324,369,361,92,25,192,166,1881,212078086,37457154.0,33.8,5.3,5.2,1.3,0.4,2.8,2.4,27.3
5600,DeMar DeRozan,2019,2018-19,Toronto Raptors,5.0,12,78.0,220.0,SG,29,SAS,77,77,2688,631,1313,0.481,7,45,0.156,624,1268,0.492,0.483,366,441,0.83,54,408,462,475,86,36,199,177,1635,176705770,27739975.0,34.9,6.0,6.2,1.1,0.5,2.6,2.3,21.2
5613,Goran DragiÄ,2019,2018-19,San Antonio Spurs,0.0,13,75.0,190.0,PG,32,MIA,36,22,991,179,433,0.413,57,164,0.348,122,269,0.454,0.479,79,101,0.782,20,91,111,174,30,5,71,81,494,133113525,18109175.0,27.5,3.1,4.8,0.8,0.1,2.0,2.2,13.7
5615,Jared Dudley,2019,2018-19,Charlotte Bobcats,0.0,14,78.0,237.0,PF,33,BRK,59,25,1220,101,239,0.423,53,151,0.351,48,88,0.545,0.533,32,46,0.696,34,121,155,83,36,16,43,131,287,62197534,9530000.0,20.7,2.6,1.4,0.6,0.3,0.7,2.2,4.9
5623,Wayne Ellington,2019,2018-19,Minnesota Timberwolves,8.0,12,76.0,207.0,SG,31,TOT,53,38,1297,184,457,0.403,138,372,0.371,46,85,0.541,0.554,39,49,0.796,14,93,107,72,54,6,40,92,545,45793775,2383076.0,24.5,2.0,1.4,1.0,0.1,0.8,1.7,10.3
5662,Marc Gasol,2019,2018-19,Los Angeles Lakers,0.0,13,83.0,255.0,C,34,TOT,79,72,2436,390,870,0.448,99,273,0.363,291,597,0.487,0.505,192,253,0.759,80,547,627,349,84,86,155,217,1071,183104600,24119025.0,30.8,7.9,4.4,1.1,1.1,2.0,2.7,13.6
5668,Rudy Gay,2019,2018-19,Houston Rockets,5.0,15,80.0,250.0,PF,32,SAS,69,51,1842,376,746,0.504,74,184,0.402,302,562,0.537,0.554,120,147,0.816,63,407,470,182,54,34,114,159,946,165546169,10087200.0,26.7,6.8,2.6,0.8,0.5,1.7,2.3,13.7
5670,Taj Gibson,2019,2018-19,Chicago Bulls,46.0,12,81.0,232.0,PF,33,MIN,70,57,1686,304,537,0.566,11,34,0.324,293,503,0.583,0.576,134,177,0.757,172,286,458,84,53,39,73,186,753,79592655,14000000.0,24.1,6.5,1.2,0.8,0.6,1.0,2.7,10.8
5676,Eric Gordon,2019,2018-19,Los Angeles Clippers,3.0,13,75.0,215.0,SG,30,HOU,68,53,2158,384,938,0.409,216,600,0.36,168,338,0.497,0.525,119,152,0.783,17,131,148,129,41,27,90,143,1103,140412272,13500375.0,31.7,2.2,1.9,0.6,0.4,1.3,2.1,16.2
5683,Danny Green,2019,2018-19,Cleveland Cavaliers,15.0,12,78.0,215.0,SG,31,TOR,80,80,2216,293,630,0.465,198,435,0.455,95,195,0.487,0.622,37,44,0.841,60,257,317,126,73,53,75,171,821,82693630,10000000.0,27.7,4.0,1.6,0.9,0.7,0.9,2.1,10.3
5696,James Harden,2019,2018-19,Oklahoma City Thunder,17.0,12,77.0,220.0,PG,29,HOU,78,78,2867,843,1909,0.442,378,1028,0.368,465,881,0.528,0.541,754,858,0.879,66,452,518,586,158,58,387,244,2818,227685662,30421854.0,36.8,6.6,7.5,2.0,0.7,5.0,3.1,36.1
5712,Udonis Haslem,2019,2018-19,0,72.0,18,80.0,235.0,C,38,MIA,10,1,74,11,33,0.333,0,12,0.0,11,21,0.524,0.333,3,4,0.75,3,24,27,2,0,0,3,9,25,65498692,2393887.0,7.4,2.7,0.2,0.0,0.0,0.3,0.9,2.5
5722,George Hill,2019,2018-19,San Antonio Spurs,0.0,13,76.0,188.0,PG,32,TOT,60,13,1302,170,376,0.452,48,153,0.314,122,223,0.547,0.516,70,85,0.824,39,109,148,135,52,8,51,102,458,104055909,19000000.0,21.7,2.5,2.2,0.9,0.1,0.8,1.7,7.6
5727,Jrue Holiday,2019,2018-19,Philadelphia 76ers,2.0,12,75.0,205.0,SG,28,NOP,67,67,2402,547,1159,0.472,118,363,0.325,429,796,0.539,0.523,208,271,0.768,75,259,334,518,109,54,210,148,1420,150443496,25976111.0,35.9,5.0,7.7,1.6,0.8,3.1,2.2,21.2
5737,Al Horford,2019,2018-19,Atlanta Hawks,47.0,14,81.0,240.0,C,32,BOS,68,68,1973,387,723,0.535,73,203,0.36,314,520,0.604,0.586,78,95,0.821,120,338,458,283,59,86,102,126,925,216228232,28928710.0,29.0,6.7,4.2,0.9,1.3,1.5,1.9,13.6
5739,Dwight Howard,2019,2018-19,Orlando Magic,1.0,17,82.0,265.0,C,33,WAS,9,9,230,43,69,0.623,0,0,0.0,43,69,0.623,0.623,29,48,0.604,24,59,83,4,7,4,16,34,115,246191190,5337000.0,25.6,9.2,0.4,0.8,0.4,1.8,3.8,12.8
5744,Serge Ibaka,2019,2018-19,Seattle SuperSonics,0.0,12,82.0,235.0,C,29,TOR,74,51,2010,464,877,0.529,49,169,0.29,415,708,0.586,0.557,135,177,0.763,156,445,601,99,29,103,114,211,1112,129323662,21666667.0,27.2,8.1,1.3,0.4,1.4,1.5,2.9,15.0
5745,Andre Iguodala,2019,2018-19,Philadelphia 76ers,27.0,17,78.0,215.0,SF,35,GSW,68,13,1578,151,302,0.5,48,144,0.333,103,158,0.652,0.579,39,67,0.582,48,204,252,216,61,51,52,95,389,184324259,16000000.0,23.2,3.7,3.2,0.9,0.8,0.8,1.4,5.7
5746,Ersan Ä°lyasova,2019,2018-19,Milwaukee Bucks,0.0,13,81.0,235.0,PF,31,MIL,67,7,1231,167,381,0.438,58,160,0.363,109,221,0.493,0.514,61,74,0.824,94,208,302,52,32,20,48,172,453,69010749,7000000.0,18.4,4.5,0.8,0.5,0.3,0.7,2.6,6.8
5761,LeBron James,2019,2018-19,Cleveland Cavaliers,1.0,18,81.0,250.0,SF,34,LAL,55,55,1937,558,1095,0.51,111,327,0.339,447,768,0.582,0.56,278,418,0.665,57,408,465,454,72,33,197,94,1505,349331046,35654150.0,35.2,8.5,8.3,1.3,0.6,3.6,1.7,27.4
5789,DeAndre Jordan,2019,2018-19,Los Angeles Clippers,13.0,13,83.0,265.0,C,30,TOT,69,69,2047,286,446,0.641,0,0,0.0,286,446,0.641,0.641,186,264,0.705,225,677,902,156,42,73,153,167,758,151642365,22897200.0,29.7,13.1,2.3,0.6,1.1,2.2,2.4,11.0
5834,Brook Lopez,2019,2018-19,New Jersey Nets,9.0,13,84.0,282.0,C,30,MIL,81,81,2322,355,786,0.452,187,512,0.365,168,274,0.613,0.571,112,133,0.842,33,363,396,98,51,179,82,189,1009,145877186,3382000.0,28.7,4.9,1.2,0.6,2.2,1.0,2.3,12.5
5835,Robin Lopez,2019,2018-19,Phoenix Suns,19.0,13,84.0,281.0,C,30,CHI,74,36,1606,304,535,0.568,7,31,0.226,297,504,0.589,0.575,89,123,0.724,140,146,286,89,11,78,96,124,704,91459944,14357750.0,21.7,3.9,1.2,0.1,1.1,1.3,1.7,9.5
5836,Kevin Love,2019,2018-19,Memphis Grizzlies,2.0,13,80.0,251.0,PF,30,CLE,22,21,598,109,283,0.385,53,147,0.361,56,136,0.412,0.479,103,114,0.904,33,206,239,48,6,5,42,54,374,206522555,24119025.0,27.2,10.9,2.2,0.3,0.2,1.9,2.5,17.0
5837,Kyle Lowry,2019,2018-19,Memphis Grizzlies,29.0,15,72.0,196.0,PG,32,TOR,65,65,2213,304,739,0.411,157,453,0.347,147,286,0.514,0.518,161,194,0.83,41,271,312,564,91,31,182,166,926,188457917,31200000.0,34.0,4.8,8.7,1.4,0.5,2.8,2.6,14.2
5862,Wesley Matthews,2019,2018-19,0,61.0,12,76.0,220.0,SF-SG,32,TOT,69,68,2091,279,698,0.4,150,403,0.372,129,295,0.437,0.507,132,163,0.81,32,138,170,160,54,17,91,160,840,109916346,737715.0,30.3,2.5,2.3,0.8,0.2,1.3,2.3,12.2
5874,JaVale McGee,2019,2018-19,Washington Wizards,0.0,13,84.0,270.0,C,31,LAL,75,62,1671,400,641,0.624,1,12,0.083,399,629,0.634,0.625,96,152,0.632,195,371,566,52,47,148,108,208,897,65692164,2393887.0,22.3,7.5,0.7,0.6,2.0,1.4,2.8,12.0
5890,Paul Millsap,2019,2018-19,Utah Jazz,66.0,15,79.0,257.0,PF,33,DEN,70,65,1895,322,665,0.484,58,159,0.365,264,506,0.522,0.528,181,249,0.727,153,352,505,141,83,54,95,183,883,192682070,29230769.0,27.1,7.2,2.0,1.2,0.8,1.4,2.6,12.6
5957,Chris Paul,2019,2018-19,New Orleans Hornets,6.0,16,72.0,175.0,PG,33,HOU,58,58,1857,302,720,0.419,127,355,0.358,175,365,0.479,0.508,175,203,0.862,36,229,265,473,114,18,152,146,906,300507923,35654150.0,32.0,4.6,8.2,2.0,0.3,2.6,2.5,15.6
5982,J.J. Redick,2019,2018-19,Orlando Magic,11.0,15,75.0,200.0,SG,34,PHI,76,63,2379,452,1027,0.44,240,605,0.397,212,422,0.502,0.557,228,255,0.894,20,166,186,206,32,17,101,129,1372,117908008,12250000.0,31.3,2.4,2.7,0.4,0.2,1.3,1.7,18.1
5995,Rajon Rondo,2019,2018-19,Phoenix Suns,21.0,15,73.0,180.0,PG,32,LAL,46,29,1369,175,432,0.405,51,142,0.359,124,290,0.428,0.464,23,36,0.639,34,209,243,367,57,7,127,100,424,110397637,9000000.0,29.8,5.3,8.0,1.2,0.2,2.8,2.2,9.2
6057,Jeff Teague,2019,2018-19,Atlanta Hawks,55.0,12,75.0,195.0,PG,30,MIN,42,41,1264,176,416,0.423,35,105,0.333,141,311,0.453,0.465,123,153,0.804,16,90,106,343,43,18,97,90,510,100036543,19000000.0,30.1,2.5,8.2,1.0,0.4,2.3,2.1,12.1
6073,Anthony Tolliver,2019,2018-19,0,0.0,13,80.0,240.0,PF,33,MIN,65,0,1079,99,259,0.382,81,215,0.377,18,44,0.409,0.539,47,60,0.783,15,162,177,46,17,21,36,91,326,35327454,5750000.0,16.6,2.7,0.7,0.3,0.3,0.6,1.4,5.0
6101,Russell Westbrook,2019,2018-19,Seattle SuperSonics,0.0,13,75.0,200.0,PG,30,OKC,73,73,2630,630,1473,0.428,119,411,0.29,511,1062,0.481,0.468,296,451,0.656,109,698,807,784,142,33,325,245,1675,247765546,35654150.0,36.0,11.1,10.7,1.9,0.5,4.5,3.4,22.9
6110,Lou Williams,2019,2018-19,Philadelphia 76ers,5.0,16,73.0,175.0,SG,32,LAC,75,1,1993,484,1138,0.425,105,291,0.361,379,847,0.447,0.471,425,485,0.876,40,182,222,402,57,11,181,80,1498,82208319,8000000.0,26.6,3.0,5.4,0.8,0.1,2.4,1.1,20.0
6124,Thaddeus Young,2019,2018-19,Philadelphia 76ers,6.0,14,80.0,235.0,PF,30,IND,81,81,2489,443,841,0.527,51,146,0.349,392,695,0.564,0.557,87,135,0.644,192,331,523,204,123,36,123,194,1024,122942787,13764045.0,30.7,6.5,2.5,1.5,0.4,1.5,2.4,12.6
6136,LaMarcus Aldridge,2020,2019-20,Chicago Bulls,12.0,15,83.0,250.0,C,34,SAS,53,53,1754,391,793,0.493,61,157,0.389,330,636,0.519,0.532,158,191,0.827,103,289,392,129,36,87,74,128,1001,213594277,26000000.0,33.1,7.4,2.4,0.7,1.6,1.4,2.4,18.9
6149,Carmelo Anthony,2020,2019-20,Denver Nuggets,2.0,18,79.0,238.0,PF,35,POR,58,58,1902,336,782,0.43,87,226,0.385,249,556,0.448,0.485,136,161,0.845,71,297,368,85,49,27,100,171,895,264653337,2159029.0,32.8,6.3,1.5,0.8,0.5,1.7,2.9,15.4
6152,Trevor Ariza,2020,2019-20,New York Knicks,19.0,17,80.0,215.0,SF,34,TOT,53,21,1493,142,324,0.438,77,207,0.372,65,117,0.556,0.557,62,74,0.838,34,212,246,91,69,15,56,111,423,116320530,12200000.0,28.2,4.6,1.7,1.3,0.3,1.1,2.1,8.0
6155,D.J. Augustin,2020,2019-20,Charlotte Bobcats,29.0,13,71.0,183.0,PG,32,ORL,57,13,1420,184,461,0.399,70,201,0.348,114,260,0.438,0.475,161,181,0.89,22,100,122,262,34,1,86,72,599,56804977,7250000.0,24.9,2.1,4.6,0.6,0.0,1.5,1.3,10.5
6168,Nicolas Batum,2020,2019-20,Houston Rockets,0.0,13,80.0,230.0,SF,31,CHO,22,3,505,28,81,0.346,14,49,0.286,14,32,0.438,0.432,9,10,0.9,25,75,100,66,17,8,22,41,79,156135822,25565217.0,23.0,4.5,3.0,0.8,0.4,1.0,1.9,3.6
6273,Mike Conley,2020,2019-20,Memphis Grizzlies,21.0,14,73.0,175.0,PG,32,UTA,47,41,1363,232,567,0.409,96,256,0.375,136,311,0.437,0.494,115,139,0.827,33,118,151,208,36,5,92,104,675,208812026,32511623.0,29.0,3.2,4.4,0.8,0.1,2.0,2.2,14.4
6292,Stephen Curry,2020,2019-20,Golden State Warriors,0.0,12,74.0,185.0,PG,31,GSW,5,5,139,33,82,0.402,12,49,0.245,21,33,0.636,0.476,26,26,1.0,4,22,26,33,5,2,16,11,104,212078086,40231758.0,27.8,5.2,6.6,1.0,0.4,3.2,2.2,20.8
6303,DeMar DeRozan,2020,2019-20,Toronto Raptors,5.0,12,78.0,220.0,SF,30,SAS,68,68,2316,557,1049,0.531,9,35,0.257,548,1014,0.54,0.535,381,451,0.845,44,331,375,380,70,20,164,180,1504,176705770,27739975.0,34.1,5.5,5.6,1.0,0.3,2.4,2.6,22.1
6316,Goran DragiÄ,2020,2019-20,San Antonio Spurs,0.0,13,75.0,190.0,PG,33,MIA,59,3,1663,319,724,0.441,124,338,0.367,195,386,0.505,0.526,191,246,0.776,29,158,187,301,40,10,144,124,953,133113525,19217900.0,28.2,3.2,5.1,0.7,0.2,2.4,2.1,16.2
6320,Jared Dudley,2020,2019-20,Charlotte Bobcats,0.0,14,78.0,237.0,PF,34,LAL,45,1,364,24,60,0.4,18,42,0.429,6,18,0.333,0.55,2,2,1.0,6,46,52,28,15,3,8,41,68,62197534,2564753.0,8.1,1.2,0.6,0.3,0.1,0.2,0.9,1.5
6324,Wayne Ellington,2020,2019-20,Minnesota Timberwolves,8.0,12,76.0,207.0,SG,32,NYK,36,1,558,61,174,0.351,50,143,0.35,11,31,0.355,0.494,11,13,0.846,4,61,65,44,13,4,18,41,183,45793775,8000000.0,15.5,1.8,1.2,0.4,0.1,0.5,1.1,5.1
6358,Marc Gasol,2020,2019-20,Los Angeles Lakers,0.0,13,83.0,255.0,C,35,TOR,44,43,1161,119,279,0.427,57,148,0.385,62,131,0.473,0.529,36,49,0.735,31,244,275,147,34,38,59,124,331,183104600,25595700.0,26.4,6.2,3.3,0.8,0.9,1.3,2.8,7.5
6359,Rudy Gay,2020,2019-20,Houston Rockets,5.0,15,80.0,250.0,PF,33,SAS,67,5,1461,266,596,0.446,74,220,0.336,192,376,0.511,0.508,120,136,0.882,61,301,362,114,35,33,88,103,726,165546169,14000000.0,21.8,5.4,1.7,0.5,0.5,1.3,1.5,10.8
6361,Taj Gibson,2020,2019-20,Chicago Bulls,46.0,12,81.0,232.0,C,34,NYK,62,56,1025,167,286,0.584,4,14,0.286,163,272,0.599,0.591,41,56,0.732,111,156,267,52,27,30,47,122,379,79592655,9800000.0,16.5,4.3,0.8,0.4,0.5,0.8,2.0,6.1
6367,Eric Gordon,2020,2019-20,Los Angeles Clippers,3.0,13,75.0,215.0,SF,31,HOU,36,15,1016,171,463,0.369,96,303,0.317,75,160,0.469,0.473,82,107,0.766,9,62,71,54,23,13,43,70,520,140412272,14057730.0,28.2,2.0,1.5,0.6,0.4,1.2,1.9,14.4
6375,Danny Green,2020,2019-20,Cleveland Cavaliers,15.0,12,78.0,215.0,SG,32,LAL,68,68,1687,197,474,0.416,120,327,0.367,77,147,0.524,0.542,33,48,0.688,51,174,225,91,85,32,63,136,547,82693630,14634146.0,24.8,3.3,1.3,1.2,0.5,0.9,2.0,8.0
6392,James Harden,2020,2019-20,Oklahoma City Thunder,17.0,12,77.0,220.0,SG,30,HOU,68,68,2483,672,1514,0.444,299,843,0.355,373,671,0.556,0.543,692,800,0.865,70,376,446,512,125,60,308,227,2335,227685662,38199000.0,36.5,6.6,7.5,1.8,0.9,4.5,3.3,34.3
6404,Udonis Haslem,2020,2019-20,0,72.0,18,80.0,235.0,C,39,MIA,4,1,44,4,11,0.364,1,3,0.333,3,8,0.375,0.409,3,4,0.75,1,15,16,1,0,0,1,6,12,65498692,2564753.0,11.0,4.0,0.2,0.0,0.0,0.2,1.5,3.0
