,Player,Year,Season_Year,Draft,Rank,Experience,Height,Weight,Position,Age,Team_ID,Games,GS,Mins_Played,Field_Goal,FG_attempts,FG_percent,3_Point_FG,3P_attempts,3P_percent,2_Point_FG,2P_attempts,2P_percent,eFG%,Free_Throw,FT_attempts,FT_percent,Offensive_Rebounds,Defensive_Rebounds,Total_Rebounds,Assists,Steals,Blocks,Turnovers,Personal_Fouls,Points,Player_Career_Salary,Player_Season_Salary,Mins_Played_per_game,Total_Rebounds_per_game,Assists_per_game,Steals_per_game,Blocks_per_game,Turnovers_per_game,Personal_Fouls_per_game,Points_per_game
4738,Lou Williams,2017,2016-17,Philadelphia 76ers,5.0,16,73.0,175.0,SG,30,TOT,81,1,1994,428,998,0.429,163,446,0.365,265,552,0.48,0.511,402,457,0.88,26,176,202,239,80,20,160,92,1421,82208319,7000000.0,24.6,2.5,3.0,1.0,0.2,2.0,1.1,17.5
4756,Thaddeus Young,2017,2016-17,Philadelphia 76ers,6.0,14,80.0,235.0,PF,28,IND,74,74,2237,362,687,0.527,45,118,0.381,317,569,0.557,0.56,45,86,0.523,131,317,448,122,113,29,95,135,814,122942787,14153652.0,30.2,6.1,1.6,1.5,0.4,1.3,1.8,11.0
4768,LaMarcus Aldridge,2018,2017-18,Chicago Bulls,12.0,15,83.0,250.0,C,32,SAS,75,75,2509,687,1347,0.51,27,92,0.293,660,1255,0.526,0.52,334,399,0.837,246,389,635,152,43,90,111,161,1735,213594277,21461010.0,33.5,8.5,2.0,0.6,1.2,1.5,2.1,23.1
4778,Carmelo Anthony,2018,2017-18,Denver Nuggets,2.0,18,79.0,238.0,PF,33,OKC,78,78,2501,472,1168,0.404,169,474,0.357,303,694,0.437,0.476,148,193,0.767,67,386,453,103,47,49,99,197,1261,264653337,26243760.0,32.1,5.8,1.3,0.6,0.6,1.3,2.5,16.2
4781,Trevor Ariza,2018,2017-18,New York Knicks,19.0,17,80.0,215.0,SF,32,HOU,67,67,2269,268,651,0.412,170,462,0.368,98,189,0.519,0.542,76,89,0.854,33,261,294,105,98,13,52,132,782,116320530,7420912.0,33.9,4.4,1.6,1.5,0.2,0.8,2.0,11.7
4787,D.J. Augustin,2018,2017-18,Charlotte Bobcats,29.0,13,71.0,183.0,PG,30,ORL,75,36,1760,244,540,0.452,114,272,0.419,130,268,0.485,0.557,164,189,0.868,30,130,160,287,54,0,123,94,766,56804977,7250000.0,23.5,2.1,3.8,0.7,0.0,1.6,1.3,10.2
4798,Nicolas Batum,2018,2017-18,Houston Rockets,0.0,13,80.0,230.0,SG,29,CHO,64,64,1981,270,650,0.415,92,274,0.336,178,376,0.473,0.486,108,130,0.831,57,249,306,349,65,23,131,72,740,156135822,22434783.0,31.0,4.8,5.5,1.0,0.4,2.0,1.1,11.6
4890,Mike Conley,2018,2017-18,Memphis Grizzlies,21.0,14,73.0,175.0,PG,30,MEM,12,12,373,64,168,0.381,24,77,0.312,40,91,0.44,0.452,53,66,0.803,0,27,27,49,12,3,18,24,205,208812026,28530608.0,31.1,2.2,4.1,1.0,0.2,1.5,2.0,17.1
4908,Stephen Curry,2018,2017-18,Golden State Warriors,0.0,12,74.0,185.0,PG,29,GSW,51,51,1631,428,864,0.495,212,501,0.423,216,363,0.595,0.618,278,302,0.921,36,225,261,310,80,8,153,114,1346,212078086,34682550.0,32.0,5.1,6.1,1.6,0.2,3.0,2.2,26.4
4918,DeMar DeRozan,2018,2017-18,Toronto Raptors,5.0,12,78.0,220.0,SG,28,TOR,80,80,2711,645,1413,0.456,89,287,0.31,556,1126,0.494,0.488,461,559,0.825,59,256,315,417,85,22,175,151,1840,176705770,27739975.0,33.9,3.9,5.2,1.1,0.3,2.2,1.9,23.0
4926,Goran DragiÄ,2018,2017-18,San Antonio Spurs,0.0,13,75.0,190.0,PG,31,MIA,75,75,2378,484,1075,0.45,111,300,0.37,373,775,0.481,0.502,217,271,0.801,54,252,306,359,63,12,166,180,1296,133113525,17000450.0,31.7,4.1,4.8,0.8,0.2,2.2,2.4,17.3
4931,Jared Dudley,2018,2017-18,Charlotte Bobcats,0.0,14,78.0,237.0,PF,32,PHO,48,0,686,48,122,0.393,29,80,0.363,19,42,0.452,0.512,27,35,0.771,8,86,94,78,24,11,28,85,152,62197534,10000000.0,14.3,2.0,1.6,0.5,0.2,0.6,1.8,3.2
4938,Wayne Ellington,2018,2017-18,Minnesota Timberwolves,8.0,12,76.0,207.0,SG,30,MIA,77,2,2041,285,700,0.407,227,579,0.392,58,121,0.479,0.569,67,78,0.859,23,195,218,79,53,8,52,94,864,45793775,6270000.0,26.5,2.8,1.0,0.7,0.1,0.7,1.2,11.2
4969,Marc Gasol,2018,2017-18,Los Angeles Lakers,0.0,13,83.0,255.0,C,33,MEM,73,73,2408,434,1033,0.42,109,320,0.341,325,713,0.456,0.473,281,337,0.834,78,514,592,305,54,101,194,185,1258,183104600,22642350.0,33.0,8.1,4.2,0.7,1.4,2.7,2.5,17.2
4971,Rudy Gay,2018,2017-18,Houston Rockets,5.0,15,80.0,250.0,PF,31,SAS,57,6,1231,253,537,0.471,37,118,0.314,216,419,0.516,0.506,112,145,0.772,76,215,291,73,46,38,78,98,655,165546169,8406000.0,21.6,5.1,1.3,0.8,0.7,1.4,1.7,11.5
4975,Taj Gibson,2018,2017-18,Chicago Bulls,46.0,12,81.0,232.0,PF,32,MIN,82,82,2726,425,737,0.577,7,35,0.2,418,702,0.595,0.581,142,185,0.768,194,390,584,99,62,59,89,218,999,79592655,14000000.0,33.2,7.1,1.2,0.8,0.7,1.1,2.7,12.2
